season,week,N_active,scheme,elim_set,accept_rate,consistency_mean,margin_mean,consistency_map,margin_map,n_accept,draws,status,prior_source
1,1,6,Rank,,1.0,1.0,,1.0,,500,500,ok,initial
1,2,6,Rank,S1_Trista Sutter,0.22665457842248413,1.0,3.0,1.0,2.0,500,2206,ok,smoothed_from_prev
1,3,5,Rank,S1_Evander Holyfield,0.28735632183908044,1.0,5.0,1.0,1.0,500,1740,ok,smoothed_from_prev
1,4,4,Rank,S1_Rachel Hunter,0.2557544757033248,1.0,0.0,1.0,0.0,500,1955,ok,smoothed_from_prev
1,5,3,Rank,S1_Joey McIntyre,0.4098360655737705,1.0,3.0,1.0,1.0,500,1220,ok,smoothed_from_prev
2,1,10,Rank,S2_Kenny Mayne,0.26881720430107525,1.0,7.0,1.0,2.0,500,1860,ok,initial
2,2,9,Rank,S2_Tatum O'Neal,0.4476275738585497,1.0,7.0,1.0,3.0,500,1117,ok,smoothed_from_prev
2,3,8,Rank,S2_Giselle Fernandez,0.21052631578947367,1.0,4.5,1.0,2.5,500,2375,ok,smoothed_from_prev
2,4,7,Rank,S2_Master P,0.2808988764044944,1.0,6.0,1.0,1.0,500,1780,ok,smoothed_from_prev
2,5,6,Rank,S2_Tia Carrere,0.6535947712418301,1.0,3.0,1.0,2.0,500,765,ok,smoothed_from_prev
2,6,5,Rank,S2_George Hamilton,0.37147102526002973,1.0,1.0,1.0,0.0,500,1346,ok,smoothed_from_prev
2,7,4,Rank,S2_Lisa Rinna,0.3641660597232338,1.0,2.0,1.0,0.5,500,1373,ok,smoothed_from_prev
3,1,11,Percent,S3_Tucker Carlson,0.3248862897985705,1.0,0.09720957922175395,1.0,0.011394234826356875,500,1539,ok,initial
3,2,10,Percent,S3_Shanna Moakler,0.11444266422522316,1.0,0.09212672062269274,1.0,0.0058029020188146985,500,4369,ok,smoothed_from_prev
3,3,9,Percent,S3_Harry Hamlin,0.12528188423953895,1.0,0.09948489997446558,1.0,0.0007113090234167341,500,3991,ok,smoothed_from_prev
3,4,8,Percent,S3_Vivica A. Fox,0.21805494984736154,1.0,0.10885282146117203,1.0,0.06376224048811398,500,2293,ok,smoothed_from_prev
3,5,7,Percent,S3_Sara Evans;S3_Willa Ford,0.04177807486631016,1.0,0.12529669294117785,1.0,0.007014255842076045,500,11968,ok,smoothed_from_prev
3,6,5,Percent,,1.0,1.0,,1.0,,500,500,ok,smoothed_from_prev
3,7,5,Percent,S3_Jerry Springer,0.24777006937561943,1.0,0.1616303630076486,1.0,0.01975461616940888,500,2018,ok,smoothed_from_prev
3,8,4,Percent,S3_Monique Coleman,0.30543677458766033,1.0,0.18532666659732977,1.0,0.025925904328599425,500,1637,ok,smoothed_from_prev
3,9,3,Percent,S3_Joey Lawrence,0.3190810465858328,1.0,0.20675809430233616,1.0,0.0059606961732875385,500,1567,ok,smoothed_from_prev
4,1,11,Percent,,1.0,1.0,,1.0,,500,500,ok,initial
4,2,11,Percent,S4_Paulina Porizkova,0.11198208286674133,1.0,0.08409752424398101,1.0,0.01000401199660396,500,4465,ok,smoothed_from_prev
4,3,10,Percent,S4_Shandi Finnessey,0.1072271070126528,1.0,0.0890307716104917,1.0,0.012279130222392923,500,4663,ok,smoothed_from_prev
4,4,9,Percent,S4_Leeza Gibbons,0.33602150537634407,1.0,0.11234065408126795,1.0,0.012554233195611608,500,1488,ok,smoothed_from_prev
4,5,8,Percent,S4_Clyde Drexler,0.23277467411545624,1.0,0.11995026469265246,1.0,0.007148330935220715,500,2148,ok,smoothed_from_prev
4,6,7,Percent,S4_Heather Mills,0.21824530772588388,1.0,0.12229324838254019,1.0,0.013707432836606442,500,2291,ok,smoothed_from_prev
4,7,6,Percent,S4_John Ratzenberger,0.14916467780429593,1.0,0.12673053464955686,1.0,0.0029671904170087693,500,3352,ok,smoothed_from_prev
4,8,5,Percent,S4_Billy Ray Cyrus,0.23485204321277595,1.0,0.1518627089801275,1.0,0.018920484579700025,500,2129,ok,smoothed_from_prev
4,9,4,Percent,S4_Ian Ziering,0.1516530178950561,1.0,0.1587817205722154,1.0,0.014267265286965702,500,3297,ok,smoothed_from_prev
5,1,12,Percent,S5_Josie Maran,0.2724795640326976,1.0,0.0869585610943141,1.0,0.024450272257386566,500,1835,ok,initial
5,2,11,Percent,S5_Albert Reed,0.08716875871687588,1.0,0.08542914385200492,1.0,0.00041987632349957393,500,5736,ok,smoothed_from_prev
5,3,10,Percent,S5_Wayne Newton,0.1757469244288225,1.0,0.10867480138133687,1.0,0.00022079250094381164,500,2845,ok,smoothed_from_prev
5,4,9,Percent,S5_Floyd Mayweather Jr.,0.15365703749231716,1.0,0.10182488073471256,1.0,0.012639666636000274,500,3254,ok,smoothed_from_prev
5,5,8,Percent,S5_Mark Cuban,0.11330160888284614,1.0,0.11362064973662966,1.0,0.02115716869862766,500,4413,ok,smoothed_from_prev
5,6,7,Percent,S5_Sabrina Bryan,0.1918649270913277,1.0,0.11969024633251013,1.0,0.018484240609361824,500,2606,ok,smoothed_from_prev
5,7,6,Percent,S5_Jane Seymour,0.17806267806267806,1.0,0.12931873977585256,1.0,0.019145352983454378,500,2808,ok,smoothed_from_prev
5,8,5,Percent,S5_Cameron Mathison,0.17464198393293748,1.0,0.14153413683899263,1.0,0.007560328171498265,500,2863,ok,smoothed_from_prev
5,9,4,Percent,S5_Jennie Garth,0.2144082332761578,1.0,0.1668043973427482,1.0,0.00030471680770444154,500,2332,ok,smoothed_from_prev
6,1,12,Percent,,1.0,1.0,,1.0,,500,500,ok,initial
6,2,12,Percent,S6_Monica Seles;S6_Penn Jillette,0.08703220191470844,1.0,0.09307469012974018,1.0,0.011853935505029514,500,5745,ok,smoothed_from_prev
6,3,10,Percent,S6_Steve Guttenberg,0.094732853353543,1.0,0.0942643561994112,1.0,0.004184660707195045,500,5278,ok,smoothed_from_prev
6,4,9,Percent,S6_Adam Carolla,0.273224043715847,1.0,0.10901976483808333,1.0,0.012747138200621677,500,1830,ok,smoothed_from_prev
6,5,8,Percent,S6_Priscilla Presley,0.21616947686986598,1.0,0.10995123428651188,1.0,0.0004688316101222889,500,2313,ok,smoothed_from_prev
6,6,7,Percent,S6_Marlee Matlin,0.17921146953405018,1.0,0.12027402492123213,1.0,0.023115035228176456,500,2790,ok,smoothed_from_prev
6,7,6,Percent,S6_Shannon Elizabeth,0.15718327569946558,1.0,0.11100043423668915,1.0,0.005447289366462216,500,3181,ok,smoothed_from_prev
6,8,5,Percent,S6_Mario,0.15379883112888343,1.0,0.1270589233330799,1.0,0.003800365882153045,500,3251,ok,smoothed_from_prev
6,9,4,Percent,S6_Marissa Jaret Winokur,0.22104332449160036,1.0,0.16268384020882337,1.0,0.0031720391117227575,500,2262,ok,smoothed_from_prev
7,1,13,Percent,S7_Jeffrey Ross;S7_Ted McGinley,0.04965736418710895,1.0,0.08008156814113283,1.0,0.0040669553050530355,500,10069,ok,initial
7,2,11,Percent,S7_Kim Kardashian;S7_Misty May-Treanor,0.025449177991550873,1.0,0.08472475019933338,1.0,0.003658812330728081,500,19647,ok,smoothed_from_prev
7,3,9,Percent,,1.0,1.0,,1.0,,500,500,ok,smoothed_from_prev
7,4,9,Percent,S7_Rocco DiSpirito,0.14104372355430184,1.0,0.10458478270628557,1.0,0.0053163526004995215,500,3545,ok,smoothed_from_prev
7,5,8,Percent,S7_Toni Braxton,0.1997602876548142,1.0,0.10858244721498911,1.0,0.021937538873292223,500,2503,ok,smoothed_from_prev
7,6,7,Percent,S7_Cloris Leachman,0.20868113522537562,1.0,0.1403323519713431,1.0,0.009709004999582077,500,2396,ok,smoothed_from_prev
7,7,6,Percent,S7_Susan Lucci,0.1507386192342478,1.0,0.12837807744007432,1.0,0.015950352995086625,500,3317,ok,smoothed_from_prev
7,8,5,Percent,S7_Maurice Greene,0.19794140934283452,1.0,0.13543988276863833,1.0,0.0016625845272374984,500,2526,ok,smoothed_from_prev
7,9,4,Percent,S7_Cody Linley,0.1932740626207963,1.0,0.1629997029982606,1.0,0.0070901284468260495,500,2587,ok,smoothed_from_prev
8,1,13,Percent,,1.0,1.0,,1.0,,500,500,ok,initial
8,2,13,Percent,S8_Belinda Carlisle,0.11630611770179111,1.0,0.07722050250478428,1.0,0.0017364589289674132,500,4299,ok,smoothed_from_prev
8,3,12,Percent,S8_Denise Richards,0.200160128102482,1.0,0.08817766315108598,1.0,0.031664708215978,500,2498,ok,smoothed_from_prev
8,4,11,Percent,S8_Holly Madison;S8_Steve Wozniak,0.05510249063257659,1.0,0.10169676975911368,1.0,0.0031450539674196393,500,9074,ok,smoothed_from_prev
8,5,9,Percent,S8_David Alan Grier,0.11130899376669635,1.0,0.09613436537479343,1.0,0.002349155944261244,500,4492,ok,smoothed_from_prev
8,6,8,Percent,S8_Steve-O,0.14654161781946073,1.0,0.11849824654033561,1.0,0.0010325241708787902,500,3412,ok,smoothed_from_prev
8,7,7,Percent,S8_Lawrence Taylor,0.16382699868938402,1.0,0.11348013393857131,1.0,0.0033673472350289058,500,3052,ok,smoothed_from_prev
8,8,6,Percent,S8_Chuck Wicks,0.1457725947521866,1.0,0.13061057162616463,1.0,0.014131062279325368,500,3430,ok,smoothed_from_prev
8,9,5,Percent,S8_Lil' Kim,0.2881844380403458,1.0,0.15922622599372532,1.0,0.05370663829985228,500,1735,ok,smoothed_from_prev
8,10,4,Percent,S8_Ty Murray,0.21929824561403508,1.0,0.1839694742846522,1.0,0.0022373715735012345,500,2280,ok,smoothed_from_prev
9,1,16,Percent,S9_Ashley Hamiliton;S9_Macy Gray,0.04317416457991538,1.0,0.0648457434653954,1.0,0.01933124693092053,500,11581,ok,initial
9,2,14,Percent,S9_Kathy Ireland,0.13210039630118892,1.0,0.07128238440712689,1.0,0.0033788150072370723,500,3785,ok,smoothed_from_prev
9,3,13,Percent,S9_Debi Mazar;S9_Tom DeLay,0.03730786449783614,1.0,0.0775725999614148,1.0,0.004542200075181607,500,13402,ok,smoothed_from_prev
9,4,11,Percent,S9_Chuck Liddell,0.13185654008438819,1.0,0.0787384959292674,1.0,0.01216121411037517,500,3792,ok,smoothed_from_prev
9,5,10,Percent,S9_Natalie Coughlin,0.2134927412467976,1.0,0.09062115234225676,1.0,0.0005496129696055535,500,2342,ok,smoothed_from_prev
9,6,9,Percent,S9_Louie Vito;S9_Melissa Joan Hart,0.04326756663205261,1.0,0.10706330164181077,1.0,0.013590089003551048,500,11556,ok,smoothed_from_prev
9,7,7,Percent,S9_Mark Dacascos;S9_Michael Irvin,0.02895193977996526,1.0,0.12008749132729454,1.0,0.01754331927181413,500,17270,ok,smoothed_from_prev
9,8,5,Percent,S9_Aaron Carter,0.242600679281902,1.0,0.15762122485391522,1.0,0.027913477073791104,500,2061,ok,smoothed_from_prev
9,9,4,Percent,S9_Joanna Krupa,0.24875621890547264,1.0,0.17850148303217678,1.0,0.017915771825379734,500,2010,ok,smoothed_from_prev
10,1,11,Percent,,1.0,1.0,,1.0,,500,500,ok,initial
10,2,11,Percent,S10_Shannen Doherty,0.05187798298402158,1.0,0.08041342340264196,1.0,0.002223445509411809,500,9638,ok,smoothed_from_prev
10,3,10,Percent,S10_Buzz Aldrin,0.21231422505307856,1.0,0.10820075857167151,1.0,0.0045395433512043365,500,2355,ok,smoothed_from_prev
10,4,9,Percent,S10_Aiden Turner,0.23573785950023574,1.0,0.10483997064563992,1.0,0.011041627518190517,500,2121,ok,smoothed_from_prev
10,5,8,Percent,S10_Kate Gosselin,0.1254075746175069,1.0,0.12288611226995078,1.0,0.019928227349026606,500,3987,ok,smoothed_from_prev
10,6,7,Percent,S10_Jake Pavelka,0.24813895781637718,1.0,0.11194492580460311,1.0,0.003204931820851298,500,2015,ok,smoothed_from_prev
