season,weeks_x,elim_weeks_x,rank_exact_elim,pct_exact_elim,diff_rate_elim,bias_rank_mean,bias_pct_mean,rank_vote_closer_rate,pct_vote_closer_rate,weeks_y,elim_weeks_y,contro_weeks,contro_week_rate,mean_contro_rate,mean_max_abs_gap
1,3.0,0.0,,,,0.0,-0.39999999999999997,0.0,0.0,3,0,1,0.3333333333333333,0.06666666666666667,2.6666666666666665
2,6.0,0.0,,,,0.0037653975213657507,0.8412619931351069,0.6666666666666666,0.6666666666666666,6,0,5,0.8333333333333334,0.2836640211640212,5.166666666666667
3,7.0,0.0,,,,0.12970988051301993,0.2589866001129167,0.7142857142857143,0.42857142857142855,7,0,5,0.7142857142857143,0.3288548752834467,5.0
4,7.0,0.0,,,,-0.053654586962145576,0.12433331762280084,0.2857142857142857,0.5714285714285714,7,0,6,0.8571428571428571,0.4155895691609977,5.714285714285714
5,5.0,0.0,,,,-0.01906712134557552,-0.07956300412304158,0.4,0.6,5,0,3,0.6,0.23714285714285716,4.4
6,7.0,0.0,,,,0.04608609397942639,0.1145790513554864,0.7142857142857143,0.7142857142857143,7,0,5,0.7142857142857143,0.20453514739229026,5.714285714285714
7,7.0,0.0,,,,-0.011145760837211931,0.28117737250395847,0.2857142857142857,0.7142857142857143,7,0,6,0.8571428571428571,0.3811018346732632,5.857142857142857
8,8.0,0.0,,,,-0.02313781747103339,0.03801734884255753,0.25,0.625,8,0,7,0.875,0.35190746753246754,6.375
9,8.0,0.0,,,,0.08389011898735649,0.18462340356549378,0.625,0.625,8,0,6,0.75,0.3821317571317571,7.0
10,7.0,0.0,,,,-0.06689628562795677,-0.18615250525808386,0.5714285714285714,0.5714285714285714,7,0,6,0.8571428571428571,0.33764172335600906,5.714285714285714
11,8.0,0.0,,,,-0.13348864000067157,0.6388828570847119,0.5,0.875,8,0,7,0.875,0.4359893578643579,6.125
12,7.0,0.0,,,,0.04526840136998968,-0.1436091675173738,0.42857142857142855,0.7142857142857143,7,0,4,0.5714285714285714,0.27012471655328796,4.857142857142857
13,8.0,0.0,,,,-0.056087450275441444,0.05454562302980437,0.125,0.5,8,0,7,0.875,0.39745670995670995,6.25
14,7.0,0.0,,,,0.09655248512336999,0.672395438452743,0.5714285714285714,0.7142857142857143,7,0,6,0.8571428571428571,0.30575139146567715,5.857142857142857
15,6.0,0.0,,,,-0.10600662647892169,0.6567452057363284,0.16666666666666666,0.8333333333333334,6,0,5,0.8333333333333334,0.37548100048100047,6.833333333333333
16,7.0,0.0,,,,-0.029393098347740787,-0.048616524895307545,0.42857142857142855,0.5714285714285714,7,0,7,1.0,0.41974850546279113,6.0
17,7.0,0.0,,,,-0.02878540338059778,0.4443391946715108,0.42857142857142855,0.8571428571428571,7,0,7,1.0,0.33634302205730776,5.714285714285714
18,6.0,0.0,,,,-0.03200217970444864,0.6501253989882826,0.5,1.0,6,0,6,1.0,0.3831108706108706,6.0
19,8.0,0.0,,,,-0.03773784334668634,0.14794678087075835,0.25,0.625,8,0,8,1.0,0.49536435786435784,6.5
20,7.0,0.0,,,,-0.14293943016698224,0.6367697062288108,0.2857142857142857,0.7142857142857143,7,0,6,0.8571428571428571,0.4712430426716141,6.142857142857143
21,6.0,0.0,,,,-0.141145414322638,0.13366706909787487,0.16666666666666666,0.8333333333333334,6,0,5,0.8333333333333334,0.3862433862433862,5.5
22,6.0,0.0,,,,0.11968339774834758,0.6140033094051963,0.5,1.0,6,0,6,1.0,0.33884680134680134,6.833333333333333
23,7.0,0.0,,,,-0.0006059786864411808,0.5137151127082654,0.7142857142857143,0.8571428571428571,7,0,6,0.8571428571428571,0.2900381364667079,6.142857142857143
24,7.0,0.0,,,,0.02243517396361338,0.6297928404382916,0.42857142857142855,0.8571428571428571,7,0,6,0.8571428571428571,0.2796588332302618,5.571428571428571
25,6.0,0.0,,,,0.021654385543327954,0.345672808627245,0.6666666666666666,0.8333333333333334,6,0,6,1.0,0.293560606060606,6.333333333333333
26,2.0,0.0,,,,0.02231845254389192,-0.26601465153849146,0.5,0.5,2,0,2,1.0,0.14583333333333331,4.5
27,6.0,0.0,,,,-0.20139998869549616,0.8264188216180773,0.3333333333333333,1.0,6,0,6,1.0,0.4955387205387205,8.0
28,6.0,0.0,,,,0.016485540799530563,1.0688991787253623,0.3333333333333333,1.0,6,0,5,0.8333333333333334,0.3253968253968254,6.333333333333333
29,8.0,0.0,,,,-0.057235897315647426,0.67433461790153,0.5,0.875,8,0,8,1.0,0.4917561605061605,8.0
30,7.0,0.0,,,,-0.06301977046455091,1.147479318833777,0.14285714285714285,1.0,7,0,7,1.0,0.580868734440163,8.428571428571429
31,8.0,0.0,,,,-0.06574310788959595,1.1767366990502528,0.25,1.0,8,0,8,1.0,0.5527930402930403,9.5
32,9.0,0.0,,,,0.014130050879323067,1.1464445264440597,0.4444444444444444,1.0,9,0,9,1.0,0.5964341214341213,7.222222222222222
33,1.0,0.0,,,,-0.477682194555648,1.6668859288553501,0.0,1.0,1,0,1,1.0,0.2,4.0
34,7.0,0.0,,,,-0.08940256203556375,1.038106169097394,0.14285714285714285,1.0,7,0,7,1.0,0.4663677592249021,7.571428571428571
