season,week,n_active,fan_top1_minus_top2,fan_hhi,judge_range_norm,judge_std_norm,margin_rank,margin_pct,methods_differ
1,3,5,0.020976927565124592,0.20339594736122657,0.6132075471698113,0.2096802902914422,5.0,0.13347829747350543,False
1,4,4,0.029029644827912093,0.26001921538108413,0.2608695652173913,0.11084825029549532,0.0,0.03171795382892789,True
1,5,3,0.09297248649855577,0.33947276180758934,0.18493150684931509,0.07928655412870018,1.0,0.05591676373354948,False
2,2,9,0.013752338141195392,0.1142550068242085,0.5850000000000001,0.1797220075561143,6.0,0.0667194286377765,False
2,3,8,0.03064934282235432,0.13184002380429583,0.5714285714285714,0.18616565215491665,4.0,0.0572494140829784,False
2,4,7,0.004409589337386194,0.14644110604008578,0.8860759493670886,0.2780491472973265,5.0,0.11413487210659592,False
2,5,6,0.005825803907681282,0.17348268725998486,0.3178807947019867,0.10616701683365162,2.0,0.022778900123674173,False
2,6,5,0.0696415820110253,0.21152089899775117,0.2631578947368421,0.1179277228673543,1.0,0.019140239629674483,False
2,7,4,0.1243911583850035,0.267397167189465,0.27450980392156865,0.1143323900950059,2.0,0.010634030468442912,False
3,2,10,0.0111310691891284,0.10437948288369948,0.43478260869565216,0.1198612934964367,3.0,0.0627325680964608,False
3,3,9,0.005493911435640819,0.11598919902307413,0.34782608695652173,0.11226038684659179,2.0,0.06413906179980661,False
3,4,8,0.006011820055723899,0.1312120903158048,0.36363636363636365,0.11561134487130907,2.0,0.06454978393352459,False
3,5,7,0.009432408401114006,0.15247748742056516,0.11602209944751381,0.05241344188124385,2.0,0.0029772954697099008,False
3,6,5,0.007109325864985999,0.20031759623169446,0.423728813559322,0.1382161561889838,3.0,0.018064073725999774,True
3,8,4,0.0009397631953780294,0.25803364717208294,0.07339449541284404,0.027522935779816515,4.0,0.10797705292838117,False
3,9,3,0.006369146313183416,0.3414294733798654,0.0,0.0,1.0,0.10687807060244858,False
4,3,10,0.019206550804110795,0.10436276765432732,0.36697247706422015,0.11198674876819911,4.0,0.06190040658414939,False
4,4,9,0.018012438811491505,0.11540310756671064,0.6157894736842106,0.2076113991928002,7.0,0.06784575090064851,False
4,5,8,0.009892603545673201,0.12724859234690472,0.7727272727272727,0.2468813748000049,6.0,0.0717645673346585,False
4,6,7,0.01853625202284359,0.14990011628404704,0.37058823529411766,0.13516617991854185,3.0,0.0788209985342484,False
4,7,6,0.034741382637572205,0.17145323808110502,0.4077669902912621,0.1481974516745024,4.0,0.07242489673381042,False
4,8,5,0.019388835873744792,0.2021823036432128,0.398406374501992,0.14108311720817346,4.0,0.09961072838253782,False
4,9,4,0.0046818007137574,0.2558092179951096,0.03375527426160337,0.013994197427659914,3.0,0.08820318154691253,False
5,5,8,0.0012993327276601963,0.12830026819786575,0.32160804020100503,0.11270181654274274,5.0,0.0628421360788243,False
5,6,7,0.0007207375472661204,0.1488819961046074,0.3111111111111111,0.10122703976826998,2.0,0.07041544384455131,False
5,7,6,0.0012384179572393073,0.17232678404585125,0.07692307692307693,0.024826816321842415,6.0,0.08411529409654811,False
5,8,5,0.005486271976334806,0.2060811919557148,0.1520912547528517,0.06201333243460111,2.0,0.08550542255101579,False
5,9,4,0.011255727376944524,0.25724769718511953,0.06837606837606838,0.028347220430388034,2.0,0.08976628318006385,False
6,3,10,0.0011973253864141914,0.10396384639100667,0.3508771929824561,0.10885678636834083,5.0,0.058492996298011996,False
6,4,9,0.001349614298056398,0.114147663698078,0.4,0.1264911064067352,6.0,0.07338219371741939,False
6,5,8,0.00207786892565201,0.12918646673439702,0.32653061224489793,0.10798984943120779,4.0,0.0706095043152952,False
6,6,7,0.007706493469408826,0.14695162110951976,0.35,0.10743933114340952,5.0,0.07899411277170648,False
6,7,6,0.008769548910284503,0.17343940478695846,0.17475728155339806,0.05577245287900999,3.0,0.07331737406425332,False
6,8,5,0.005016847836336907,0.20712784365270637,0.1310861423220974,0.04525485383368754,1.0,0.08428599640782519,False
6,9,4,0.008629336082098982,0.2557822074038141,0.09090909090909091,0.03401506715249038,3.0,0.09537364520371222,False
7,2,11,0.002770179380679902,0.09778297996757135,0.4479638009049774,0.1462035694244662,3.0,0.006356084164956102,False
7,3,9,0.005600695856433899,0.112015644593213,0.542713567839196,0.14372210699572957,2.0,0.002813083086913304,True
7,5,8,0.014148146339908102,0.13042023854735088,0.3282051282051282,0.1263454871256915,3.0,0.06660054774070831,False
7,6,7,0.0008664712565470134,0.14526793923464337,0.525,0.1627402070786442,6.0,0.08776186656295287,False
7,7,6,0.0016204574730041832,0.17374498130947397,0.3673469387755102,0.11723597237832711,1.0,0.06846651418241251,False
7,8,5,0.008394073304556604,0.20675724805592968,0.13725490196078433,0.05816626264388756,5.0,0.07677662140761998,False
7,9,4,0.002607224111270512,0.25479458861971493,0.21890547263681592,0.08129420218093628,3.0,0.07868535868380228,False
8,3,12,0.0066891321780714885,0.0869465855283235,0.8031496062992125,0.25135259369310814,7.0,0.0503890910428209,False
8,4,11,0.021319976821137093,0.09486451252036042,0.8181818181818182,0.2563982158262574,1.0,0.0030586421188264074,False
8,5,9,0.021461132262042992,0.11705048307572495,0.4714285714285715,0.13997084244475305,5.0,0.06728930501595248,True
8,6,8,0.0003030910828777933,0.1276098192129208,0.5161290322580645,0.17570037245557193,7.0,0.0683075548118659,False
8,7,7,0.01913259035628409,0.1470063311675298,0.3076923076923077,0.0964281800812321,3.0,0.07428411812802649,False
8,8,6,0.01857702192850469,0.17345201453063025,0.19230769230769232,0.0618182741089292,3.0,0.0734195193126399,False
8,9,5,0.0350684189492092,0.20840163036459103,0.20599250936329588,0.07638980544708293,3.0,0.0917198633253668,False
8,10,4,0.01541281216912982,0.2533072297315682,0.2191780821917808,0.07895715281182915,4.0,0.09765334125802788,False
9,2,14,0.0011935246144362116,0.07409522444497169,0.42857142857142855,0.14171882078911333,10.0,0.054141453280888485,False
9,3,13,0.0127846157316783,0.08184051994789363,0.6550387596899224,0.1873340461022414,0.0,0.003447816826522898,True
9,4,11,0.0160791262167755,0.09498849087302595,0.5454545454545454,0.19860520397847792,6.0,0.0578120590560775,True
9,5,10,0.0203863120043576,0.10559672410196234,0.3305785123966942,0.09743657952521981,7.0,0.06577491450239178,False
9,6,9,0.024022050380975796,0.11846880341821953,0.484620523686428,0.16676655263711235,2.0,0.0022309229899590832,False
9,7,7,0.01021476257701931,0.14866650550637722,0.2393162393162393,0.07569988749621892,2.0,0.01244620718168668,False
9,8,5,0.009530125504184805,0.20681741678235893,0.1717557251908397,0.06454784169957162,2.0,0.09310631921431078,False
9,9,4,0.002243609476473951,0.25928171298446256,0.16249930859137318,0.05929310765200201,0.0,0.09472483100148388,True
10,3,10,0.009590967124082694,0.10202813098533287,0.6403940886699507,0.17768166302336388,6.0,0.06825600247318231,False
10,4,9,0.017185045952223907,0.11503703485484007,0.48517520215633425,0.1675934399645263,6.0,0.06856784437730021,False
10,5,8,0.000131706693376199,0.12758863191022335,0.6473988439306358,0.20412073506369452,7.0,0.07638971897064281,False
10,6,7,0.005891862160166295,0.14740659346666513,0.368422286581821,0.12838773226607264,5.0,0.07423607480751909,False
10,7,6,0.001225432969680501,0.17340126752604565,0.09646302250803858,0.03418053315991849,3.0,0.07273386302306889,False
10,8,5,0.024531763858697014,0.2044477537535846,0.31620553359683795,0.11564220425555567,5.0,0.0979730335723813,False
10,9,4,0.004574439727008495,0.2543518827558279,0.12389380530973451,0.05083683757998255,3.0,0.09300689037889198,False
